radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,8848,42855960,0,-86.6305,36.3159,1000,2,1,1712654188,1762109761,0
LTE,310,260,43777,7312897,0,-87.4772,36.9694,3916,19,1,1713708434,1788875797,0
LTE,310,410,8838,41751735,0,-86.769,36.1584,1000,5,1,1716268450,1772487485,0
LTE,310,260,30499,68675585,-1,-85.2842,35.0175,734,35,1,1716385485,1787513540,0
LTE,310,260,30499,70269697,-1,-85.3115,35.0295,801,32,1,1716385585,1787513539,0
LTE,310,260,43777,7287554,0,-87.4763,36.8402,1000,2,1,1721473220,1774143301,0
LTE,310,410,8837,42593709,-1,-85.944,35.3446,5693,22,1,1726918648,1786556641,0
LTE,310,260,43906,26138126,0,-86.7886,36.1563,1000,2,1,1728461711,1761413705,0
LTE,310,260,43906,27206657,0,-86.6782,36.101,1000,2,1,1729861197,1757910679,0
LTE,310,260,43906,6383873,0,-86.6825,36.121,2207,2,1,1729861656,1749535222,0
LTE,310,260,43906,6383883,0,-86.6833,36.1234,2220,2,1,1729879913,1753504091,0
LTE,310,260,43906,6383887,0,-86.6806,36.1131,1546,2,1,1729879950,1759378745,0
LTE,310,410,8849,42962623,-1,-85.3215,35.3586,8147,7,1,1729937388,1748068567,0
LTE,310,410,8849,42257837,-1,-85.2941,35.352,1878,50,1,1729937408,1747012387,0
LTE,310,410,9108,43333055,-1,-85.1654,35.3226,4516,30,1,1729937788,1782090913,0
LTE,310,410,9108,43332880,-1,-85.1509,35.2595,3087,28,1,1729938188,1782322921,0
LTE,310,410,9108,42829073,-1,-85.2,35.2308,2368,41,1,1729938258,1747012384,0
LTE,310,410,9108,42892047,-1,-85.2147,35.217,1875,28,1,1729938388,1747012384,0
LTE,310,260,43906,6399245,0,-86.6321,36.1544,4045,4,1,1729984776,1788291484,0
LTE,310,260,43906,6383877,0,-86.6861,36.1091,1666,3,1,1729984965,1757046938,0
LTE,310,260,43906,50544899,0,-86.7587,36.0404,1512,43,1,1730043620,1767454503,0
LTE,310,260,43906,31667202,0,-86.767,36.0402,876,40,1,1730043730,1767454503,0
LTE,310,260,43906,31667206,0,-86.7896,36.0369,1000,15,1,1730043942,1773965945,0
LTE,310,260,43906,31667223,0,-86.7923,36.0048,1442,4,1,1730044011,1753355401,0
LTE,310,260,44029,98462733,0,-86.8352,35.8806,6002,5,1,1730044727,1756009981,0
LTE,310,260,44029,30163724,0,-86.7901,35.8703,11057,2,1,1730060819,1746830342,0
LTE,310,260,44029,28828939,0,-86.8101,35.9098,1000,2,1,1730061024,1753355345,0
LTE,310,260,43906,50544897,0,-86.7434,36.0425,790,26,1,1730064246,1767454503,0
LTE,310,260,43906,50544898,0,-86.7339,36.0391,1000,11,1,1730064264,1767454503,0
